Degree Program,Info from HS Counselor,Info from HS Teacher,Info from IT Website,Info from Admissions,Info from Advisor,Info from Employer,Info from Workforce Development,Info from NJ Workforce Program,Info from Other,Gender,Why Interested in Computing,Interest in More Classes,Open House,Instant Decision Day,On-Campus Info Session,Titans Tuesday,Women Who Dare,Regional College Fair,HS Sharetime Info Session,Challenger Program,CyberSecurity Program,HS Info Session,HS Campus Visit,Individual Campus Visit,Workforce Development Class,Corporate Training,Teen Arts Festival,Summer Camp
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,Yes,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,Yes,Prefer not to say,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
biology,,,,,,,,,,Woman,"A lot of medical instruments are becoming more automated. As well as tools, and other pathways I am interested in. ",3.0,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Non Degree seeking,,,,,,,,,,Woman,I am enjoying the online class,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ShareTime CSIP Program,No,No,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,No,No,Man,,,Not Sure,No,Yes,No,No,No,Yes,Not Sure,Not Sure,No,Not Sure,No,No,No,No,No
Information Technology,Yes,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,Yes,Yes,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,Yes,Not Sure,Yes,Yes,No,No,No,No,Yes,Yes
Information Technology,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,No,Not Sure,No,Yes,No,Yes,Yes,No,No,No,No,No,No
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,Man,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,Man,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
ShareTime CSIP Program,No,No,No,No,No,No,No,No,Yes,Man,,,Not Sure,Not Sure,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
ShareTime CSIP Program,No,No,Yes,No,No,No,No,No,Yes,Man,,,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Information Technology,No,Yes,No,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,No,Not Sure,Not Sure,Not Sure,Yes,Yes,No,No,Yes,No,No,No,No
Information Security Certificate of Achievement,No,No,No,No,No,No,No,No,Yes,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Challenger Program,Yes,No,No,No,No,No,No,No,Yes,Woman,,,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
ShareTime CSIP Program,Yes,No,No,No,Yes,No,No,No,Yes,Man,,,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Business Administration,,,,,,,,,,Man,"It's a career that I study when I just graduated from high school, but I didn't like it and I transfer to another career. But I have always been interested in software programming. ",5.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Man,,,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
CIS Game Development Option,No,No,Yes,Yes,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Early Childhood Education,,,,,,,,,,Woman,I am taking this class as a requirement for my major. I am unsure as to why this is a requirement for my Early Childhood Education associates degree but it was.,1.0,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
Computer Science,No,No,No,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Prefer not to say,,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
Undecided,,,,,,,,,,Man,Professor is very good.  ,5.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,Yes,Don't recall,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,,,No,Yes,Yes,No,No,Not Sure,No,No,No,Yes,No,Yes,Not Sure,No,No,No
Information Technology,No,Yes,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undecided,,,,,,,,,,Man,"I am a electrical engineering major so I know that I will need to take another computing class in the future but I'm not the best at coding. I want to get better at it, and would like to be able to code for jobs possibly in the future.",4.0,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Computer Science,Don't recall,No,No,No,No,No,No,No,No,Non-binary,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Information Technology,No,No,No,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Digital Media Technology,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,No,No,No,No,No,Woman,,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Digital Media Technology,No,No,Yes,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,No,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Yes,Man,,,Yes,Yes,Yes,Yes,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure
Mechanical engineer of technology,,,,,,,,,,Man,i like to work in the computer but i like to work moving around. i do not really like to be sitting down all day in front a computer,3.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,No,No,Yes,Yes,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CIS Game Development Option,No,No,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,No,Don't recall,No,No,No,No,Man,,,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Undecided,,,,,,,,,,Man,I would be interesting to start another class since it would allow me to learn more specific skills in the field.,5.0,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Undecided,,,,,,,,,,Man,I'm moderately interested but do not need anymore credits,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,No,Yes,Yes,Yes,No,No,No,Don't recall,Man,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Web Development Certificate of Achievement,No,No,Yes,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undecided,,,,,,,,,,Man,I'm excited to use this knowledge and apply it toward more advanced projects and applications,4.0,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Undecided,,,,,,,,,,Man,I would like to learn how to create video games at some point.,4.0,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,Not Sure,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Mechanical Engineering Technology,,,,,,,,,,Man,"It is a bit irrelevant for what I am studying, and I am not very good at it.",2.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undecided,,,,,,,,,,Man,I would be interested in taking more computing classes since I could learn more specific skills in the field.,5.0,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,No,No,No,No,No,Prefer not to say,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undecided,,,,,,,,,,Man,I enjoy working on computers and it is a great skill for every job,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Political Science ,,,,,,,,,,Man,Does not really pertain to my major ,2.0,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
Engineering Science,,,,,,,,,,Man,I am a computer engineering major so naturally I am interested in programming.,5.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,Yes,Yes,Don't recall,No,No,No,No,No,No,Man,,,No,No,No,Yes,No,Not Sure,No,No,No,Not Sure,No,No,No,No,No,No
Information Technology,Don't recall,Don't recall,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,Not Sure,No,Yes,No,No,No,No
Information Technology,Yes,No,No,Yes,No,No,No,No,Yes,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Business Admin,,,,,,,,,,Man,I want to switch my major to computer science and pursue a degree/ career in comp sci,5.0,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,Yes,Don't recall,Don't recall,No,No,No,No,Woman,,,No,No,No,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,Yes,Don't recall,Yes,Yes,No,No,No,No,Man,,,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Mechanical engineering tech,,,,,,,,,,Man,Well help me in my field of engineering and using robotics.,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,Yes,No,Don't recall,Don't recall,No,Don't recall,Don't recall,No,Man,,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Man,,,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
Computer Science,Yes,Yes,Yes,Yes,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,Yes,Non-binary,,,No,No,Not Sure,No,No,No,No,Yes,No,No,No,Not Sure,No,No,No,No
Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Woman,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,Yes,Yes,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,Not Sure,No,No,No,No,No,Yes,No,No,No,No
Information Technology,No,Yes,No,No,No,No,No,No,Don't recall,Man,,,Yes,No,Not Sure,Not Sure,No,Not Sure,Not Sure,No,No,No,No,No,No,No,No,No
Information Technology,Yes,No,No,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Don't recall,Yes,Yes,Yes,Don't recall,No,Don't recall,Don't recall,No,Woman,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,No,No,Man,,,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Non-binary,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,Yes,No,Yes,No,No,No,No,No,No,Woman,,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Computer Science,No,No,Yes,Yes,No,No,No,No,No,Man,,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
MET,,,,,,,,,,Man,I am interested in coding however it is not what I would like to do permanently and like to focus on other things.  ,3.0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Business,,,,,,,,,,Man,"It is not my major, just something I enjoy learning about",3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,Yes,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Business Administration,,,,,,,,,,Man,Following my Business Admin degree and took this course for fun and to satisfy my elective requirement.,3.0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Finance,,,,,,,,,,Man,I like the problem solving aspect when writing programs ,4.0,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
Computer Science,No,No,No,No,No,No,No,No,No,Woman,,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure
Data Analytics Certificate of Achievement,Don't recall,No,Yes,No,No,No,No,No,No,Woman,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Business Administration ,,,,,,,,,,Woman,I’m interested because I want to use some computing skills into my field of study. Also the bachelor I’m pursuing in business is related to coding ,4.0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,Yes,No,No,No,No,No,No,Woman,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Non Degree seeking,,,,,,,,,,Man,To learn more of the capabilities of Python.,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,Yes,Yes,No,No,No,No,Man,,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,Yes,No,No,Man,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,Yes,No,No,No,No,No,No,No,No,Man,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,Yes,Man,,,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,Don't recall,Don't recall,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,Yes,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,No,No,No,No,No,No,No,Man,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,No,Yes,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,Yes,No,Not Sure,No,No,Not Sure,No,No,No,Yes,No,Yes,No,No,No,No
MET,,,,,,,,,,Man,I want to do more coding but with C++,5.0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
